,GEOID,Median Income
0,15000US060014001001,177417.0
1,15000US060014002001,166313.0
2,15000US060014002002,132400.0
3,15000US060014003001,161964.0
4,15000US060014003002,79375.0
5,15000US060014003003,29736.0
6,15000US060014003004,90156.0
7,15000US060014004001,114583.0
8,15000US060014004002,89698.0
9,15000US060014004003,97019.0
10,15000US060014005001,90128.0
11,15000US060014005002,73875.0
12,15000US060014005003,77738.0
13,15000US060014006001,56912.0
14,15000US060014006002,72292.0
15,15000US060014007001,47500.0
16,15000US060014007002,44551.0
17,15000US060014007003,73125.0
18,15000US060014007004,42000.0
19,15000US060014008001,61250.0
20,15000US060014008002,59063.0
21,15000US060014008003,62500.0
22,15000US060014009001,52173.0
23,15000US060014009002,79052.0
24,15000US060014010001,37574.0
25,15000US060014010002,65859.0
26,15000US060014010003,65398.0
27,15000US060014010004,98450.0
28,15000US060014010005,33047.0
29,15000US060014010006,23995.0
30,15000US060014011001,107841.0
31,15000US060014011002,66875.0
32,15000US060014011003,
33,15000US060014011004,71031.0
34,15000US060014012001,89643.0
35,15000US060014012002,92222.0
36,15000US060014012003,72847.0
37,15000US060014013001,38224.0
38,15000US060014013002,26023.0
39,15000US060014013003,61944.0
40,15000US060014014001,22933.0
41,15000US060014014002,27800.0
42,15000US060014014003,26815.0
43,15000US060014015001,
44,15000US060014015002,56000.0
45,15000US060014015003,48676.0
46,15000US060014016001,41094.0
47,15000US060014016002,35000.0
48,15000US060014017001,84688.0
49,15000US060014017002,65590.0
50,15000US060014017003,
51,15000US060014018001,57083.0
52,15000US060014018002,21655.0
53,15000US060014022001,31855.0
54,15000US060014022002,31941.0
55,15000US060014022003,65625.0
56,15000US060014024001,37455.0
57,15000US060014024002,22049.0
58,15000US060014025001,35774.0
59,15000US060014025002,11820.0
60,15000US060014026001,22955.0
61,15000US060014027001,52566.0
62,15000US060014027002,
63,15000US060014028001,14155.0
64,15000US060014028002,28500.0
65,15000US060014029001,28854.0
66,15000US060014030001,27701.0
67,15000US060014030002,14787.0
68,15000US060014031001,51184.0
69,15000US060014033001,76042.0
70,15000US060014033002,21295.0
71,15000US060014034001,82630.0
72,15000US060014034002,41968.0
73,15000US060014034003,55089.0
74,15000US060014034004,43933.0
75,15000US060014035011,21426.0
76,15000US060014035012,51260.0
77,15000US060014035013,
78,15000US060014035021,84844.0
79,15000US060014035022,60709.0
80,15000US060014036001,56179.0
81,15000US060014036002,82634.0
