,Median Income
0,177417.0
1,166313.0
2,132400.0
3,161964.0
4,79375.0
5,29736.0
6,90156.0
7,114583.0
8,89698.0
9,97019.0
10,90128.0
11,73875.0
12,77738.0
13,56912.0
14,72292.0
15,47500.0
16,44551.0
17,73125.0
18,42000.0
19,61250.0
20,59063.0
21,62500.0
22,52173.0
23,79052.0
24,37574.0
25,65859.0
26,65398.0
27,98450.0
28,33047.0
29,23995.0
30,107841.0
31,66875.0
32,
33,71031.0
34,89643.0
35,92222.0
36,72847.0
37,38224.0
38,26023.0
39,61944.0
40,22933.0
41,27800.0
42,26815.0
43,
44,56000.0
45,48676.0
46,41094.0
47,35000.0
48,84688.0
49,65590.0
50,
51,57083.0
52,21655.0
53,31855.0
54,31941.0
55,65625.0
56,37455.0
57,22049.0
58,35774.0
59,11820.0
60,22955.0
61,52566.0
62,
63,14155.0
64,28500.0
65,28854.0
66,27701.0
67,14787.0
68,51184.0
69,76042.0
70,21295.0
71,82630.0
72,41968.0
73,55089.0
74,43933.0
75,21426.0
76,51260.0
77,
78,84844.0
79,60709.0
80,56179.0
81,82634.0
82,76098.0
83,66250.0
84,66058.0
85,91111.0
86,69805.0
87,161853.0
88,76528.0
89,67125.0
90,88553.0
91,88487.0
92,64118.0
93,67168.0
94,77083.0
95,77054.0
96,104301.0
97,76714.0
98,95156.0
99,68533.0
100,188226.0
101,189907.0
102,142303.0
103,209375.0
104,210526.0
105,155733.0
106,146094.0
107,150809.0
108,163333.0
109,181484.0
110,121759.0
111,156250.0
112,128750.0
113,150230.0
114,182100.0
115,161250.0
116,140833.0
117,165444.0
118,156875.0
119,159643.0
120,56417.0
121,62121.0
122,121406.0
123,47708.0
124,73448.0
125,123452.0
126,113229.0
127,149250.0
128,120493.0
129,182222.0
130,200938.0
131,245625.0
132,151375.0
133,176750.0
134,66518.0
135,43952.0
136,93833.0
137,76250.0
138,59625.0
139,61637.0
140,38438.0
141,33362.0
142,48846.0
143,30208.0
144,31169.0
145,29351.0
146,40417.0
147,49545.0
148,51744.0
149,24743.0
150,65455.0
151,49492.0
152,101724.0
153,48056.0
154,49833.0
155,53350.0
156,43945.0
157,45391.0
158,54091.0
159,31792.0
160,
161,21949.0
162,31803.0
163,38889.0
164,30556.0
165,36905.0
166,71250.0
167,
168,27104.0
169,23577.0
170,74444.0
171,84750.0
172,33750.0
173,36273.0
174,33194.0
175,33796.0
176,45000.0
177,35556.0
178,31985.0
179,35813.0
180,31500.0
181,42750.0
182,47857.0
183,34931.0
184,92292.0
185,48667.0
186,45515.0
187,68438.0
188,39537.0
189,37946.0
190,46693.0
191,47642.0
192,51389.0
193,53553.0
194,64018.0
195,47368.0
196,132056.0
197,157847.0
198,44677.0
199,113038.0
200,70795.0
201,142083.0
202,97393.0
203,81635.0
204,61000.0
205,128393.0
206,107750.0
207,46523.0
208,50833.0
209,57019.0
210,62713.0
211,37882.0
212,26280.0
213,49336.0
214,58589.0
215,46511.0
216,53393.0
217,57656.0
218,45000.0
219,32130.0
220,35682.0
221,43750.0
222,40469.0
223,76806.0
224,46908.0
225,53906.0
226,42019.0
227,38375.0
228,
229,22273.0
230,35833.0
231,82019.0
232,70250.0
233,24744.0
234,41734.0
235,42813.0
236,55125.0
237,58667.0
238,130458.0
239,73813.0
240,
241,93864.0
242,70795.0
243,112955.0
244,82991.0
245,101400.0
246,186875.0
247,153438.0
248,146600.0
249,87500.0
250,116786.0
251,99808.0
252,79934.0
253,28051.0
254,50823.0
255,90260.0
256,101607.0
257,133348.0
258,55691.0
259,39393.0
260,38750.0
261,25669.0
262,24293.0
263,38750.0
264,
265,48580.0
266,55189.0
267,56944.0
268,25884.0
269,43438.0
270,25069.0
271,31536.0
272,43382.0
273,60091.0
274,73242.0
275,22230.0
276,
277,42471.0
278,37946.0
279,21864.0
280,11406.0
281,25000.0
282,21955.0
283,32969.0
284,41793.0
285,48681.0
286,43295.0
287,35455.0
288,53707.0
289,42250.0
290,
291,40461.0
292,33563.0
293,42853.0
294,
295,47723.0
296,37938.0
297,24543.0
298,36346.0
299,39000.0
300,35179.0
301,30811.0
302,59875.0
303,47788.0
304,40125.0
305,32738.0
306,38125.0
307,36473.0
308,47159.0
309,101324.0
310,33352.0
311,86354.0
312,81989.0
313,81696.0
314,71541.0
315,146806.0
316,90125.0
317,117578.0
318,
319,63065.0
320,55385.0
321,59886.0
322,59327.0
323,38942.0
324,42500.0
325,45208.0
326,37462.0
327,70662.0
328,75714.0
329,48667.0
330,22596.0
331,107500.0
332,126667.0
333,112188.0
334,72344.0
335,98194.0
336,85875.0
337,79695.0
338,85788.0
339,107826.0
340,42054.0
341,82857.0
342,91563.0
343,144750.0
344,121023.0
345,92738.0
346,158750.0
347,163000.0
348,160139.0
349,164097.0
350,156458.0
351,124722.0
352,162563.0
353,113472.0
354,138056.0
355,174038.0
356,141500.0
357,139583.0
358,177813.0
359,155139.0
360,151389.0
361,103438.0
362,140600.0
363,128125.0
364,119844.0
365,90341.0
366,64076.0
367,51319.0
368,95250.0
369,120694.0
370,84125.0
371,107744.0
372,111781.0
373,90972.0
374,77500.0
375,26667.0
376,56722.0
377,75236.0
378,92083.0
379,49318.0
380,66744.0
381,62941.0
382,67361.0
383,52069.0
384,41016.0
385,56651.0
386,60106.0
387,86875.0
388,70625.0
389,33594.0
390,250001.0
391,50170.0
392,
393,24083.0
394,10673.0
395,
396,16889.0
397,18587.0
398,26090.0
399,60288.0
400,96429.0
401,56944.0
402,41492.0
403,64083.0
404,76935.0
405,66776.0
406,48250.0
407,79500.0
408,83796.0
409,51836.0
410,88661.0
411,88864.0
412,59375.0
413,65938.0
414,79609.0
415,27857.0
416,50688.0
417,61400.0
418,71964.0
419,108214.0
420,29091.0
421,23491.0
422,30268.0
423,
424,107125.0
425,64750.0
426,183237.0
427,215625.0
428,76667.0
429,71250.0
430,63906.0
431,97813.0
432,68958.0
433,44569.0
434,87450.0
435,46979.0
436,29805.0
437,52500.0
438,70417.0
439,44125.0
440,70500.0
441,84479.0
442,106941.0
443,51286.0
444,101750.0
445,128750.0
446,71629.0
447,61029.0
448,54593.0
449,205547.0
450,232639.0
451,250001.0
452,182031.0
453,250001.0
454,211402.0
455,161923.0
456,222143.0
457,121607.0
458,87232.0
459,120714.0
460,133750.0
461,70764.0
462,66406.0
463,61372.0
464,82750.0
465,
466,63958.0
467,125368.0
468,89583.0
469,43750.0
470,45481.0
471,54289.0
472,42538.0
473,41071.0
474,70239.0
475,84375.0
476,74500.0
477,116250.0
478,151823.0
479,107981.0
480,98214.0
481,70602.0
482,82220.0
483,84615.0
484,87045.0
485,80739.0
486,
487,80259.0
488,61250.0
489,68883.0
490,93036.0
491,143359.0
492,93750.0
493,45069.0
494,121047.0
495,81713.0
496,41641.0
497,62847.0
498,145592.0
499,95438.0
500,95972.0
501,125000.0
502,159261.0
503,120357.0
504,105756.0
505,136250.0
506,84798.0
507,62000.0
508,69679.0
509,66298.0
510,82614.0
511,79600.0
512,60754.0
513,96852.0
514,71563.0
515,33438.0
516,94625.0
517,136250.0
518,123945.0
519,117583.0
520,157143.0
521,121886.0
522,83889.0
523,106375.0
524,98691.0
525,110238.0
526,111042.0
527,110250.0
528,122031.0
529,110375.0
530,103800.0
531,48188.0
532,56994.0
533,100625.0
534,51009.0
535,92000.0
536,112391.0
537,98281.0
538,97939.0
539,101250.0
540,95234.0
541,118795.0
542,73829.0
543,61186.0
544,71790.0
545,45273.0
546,50667.0
547,74554.0
548,67778.0
549,46538.0
550,65134.0
551,52051.0
552,67051.0
553,90673.0
554,77321.0
555,129500.0
556,44009.0
557,75972.0
558,59643.0
559,75379.0
560,58000.0
561,99306.0
562,55972.0
563,70938.0
564,53125.0
565,68594.0
566,64205.0
567,54219.0
568,71563.0
569,56071.0
570,60116.0
571,70156.0
572,50938.0
573,67115.0
574,
575,56080.0
576,118333.0
577,71250.0
578,75139.0
579,172222.0
580,92000.0
581,75774.0
582,73281.0
583,59922.0
